제품명,가격
마이크로닉스 Classic II 850W 80PLUS GOLD 230V EU 풀모듈러 화이트,"165,000"
MSI MAG A650BN,"58,000"
PNC PARTNER EVEREST 230W PLUS 벌크,"14,860"
ASUS TUF Gaming 1000W GOLD,"228,810"
쿨러마스터 GX III Gold 850 ATX 3.0 (PCIE5),"238,000"
GSI DOHICH PREMIUM 500W,"33,460"
커세어 CORSAIR HX1200i ATX 3.0,"379,510"
썬루트 EX1800 80PLUS BRONZE 벌크,"134,170"
시소닉 FOCUS GOLD GM-750 Modular,"125,800"
GSI DOHICH PREMIUM 600W,"36,590"
잘만 GigaMax III 650W 80Plus Bronze 모듈러 ATX3.0 (PCIE5),"66,070"
GSI DOHICH 700W PLUS,"43,910"
SuperFlower SF-500R12ST MEGA 80PLUS STANDARD 230V EU 벌크,"48,310"
NZXT C1200 80Plus Gold Full Modular ATX 3.0,"335,930"
에너지옵티머스 Mach III 350K 벌크,"23,840"
앱코 SETTLER-II ST-800S 80PLUS STANDARD,"62,300"
시소닉 PRIME PLATINUM PX-850 Full Modular,"277,890"
AONE STORM 750W 80PLUS BRONZE 벌크,"52,140"
topower TOP-500S 12VSD DUAL POWER 벌크,"31,200"
시소닉 A12 Standard 230V EU SSR-700RA LLC,"79,000"
에너맥스 REVOLUTION ATX3.0 ERA1200EWT 80Plus Gold Full Modular (PCIE5),"275,940"
에너맥스 REVOLUTION ATX3.0 ERA1000EWT 80Plus Gold Full Modular (PCIE5),"248,780"
잘만 MegaMax ET 500W 80PLUS STANDARD,"44,500"
EVGA SUPERNOVA 2000G+ 80PLUS GOLD,"512,700"
(마이크로닉스) Classic II 500W +12V Single Rail 85+ /파워,"50,700"
마이크로닉스 COOLMAX FOCUS II 500W ETA BRONZE,"41,900"
잘만 MegaMax ET 600W 80PLUS STANDARD,"48,200"
FSP HYDRO Ti PRO 1000W Titanium ATX 3.0 (PCIE5),"394,180"
마이크로닉스 ZERO POWER 500W ATX 파워,"43,000"
PNC PARTNER EVEREST 300W PLUS BLACK 벌크,"25,090"
앱코 XTREAM XT-650B 80PLUS STANDARD,"65,400"
시소닉 FOCUS GOLD GM-850 Modular,"145,010"
잘만 MegaMax ET 700W 80PLUS STANDARD,"55,100"
쿨러마스터 V850 SFX GOLD White Edition,"206,900"
써멀테이크 터프파워 iRGB PLUS 1200W Platinum,"366,510"
DARKFLASH UPMOST 850W 80PLUS GOLD FULL MODULAR ATX3.0 화이트,"160,400"
FORGAME AK700 풀모듈러,"54,310"
앱코 XTREAM XT-750B 80PLUS STANDARD,"63,960"
커세어 CORSAIR RM850 80plus GOLD 화이트,"194,490"
쿨러마스터 V750 SFX GOLD White Edition,"181,100"
마이크로닉스 Performance II PV 500W 80Plus Bronze Surge 4K,"76,500"
잘만 Tager GAMING 500W 벌크,"34,400"
DARKFLASH UPMOST 850W 80PLUS GOLD FULL MODULAR ATX3.0 블랙,"156,200"
마이크로닉스 ZERO PLUS 500W Active PFC,"43,000"
잘만 Tager GAMING 600W 벌크,"40,100"
쿨러마스터 V850 SFX GOLD,"196,600"
포게임 ECOMASTER ECO 650 80PLUS STANDARD,"48,610"
마이크로닉스 Classic II 풀체인지 600W 80PLUS BRONZE 230V EU,"57,500"
마이크로닉스 Compact TFX 400W 80Plus 230V EU,"61,000"
마이크로닉스 WIZMAX 1200W 80PLUS PLATINUM 풀모듈러 ATX 3.1 (PCIE5.1),"279,000"
PNC PARTNER EVEREST N 750W PLUS,"57,500"
마이크로닉스 Classic II 550W 80PLUS Bronze 230V EU HDB,"57,000"
포게임 ECOMASTER ECO PLUS 900 ATX3.0 (PCIE5),"79,460"
PNC PARTNER EVEREST N 750W PLUS 벌크,"56,460"
마이크로닉스 Performance II PV 500W 80PLUS Bronze FDB,"75,900"
포게임 ECOMASTER ECO 750 80PLUS STANDARD,"53,320"
