제품명,가격
ASUS ROG RYUO III 360 ARGB WHITE EDITION,"394,180"
쿨러마스터 HYPER 212 HALO (WHITE),"53,000"
ASUS ROG RYUO III 360 ARGB,"382,740"
조이쿨 JHC-1700-RGB,"7,990"
쿨러마스터 HYPER 212 SPECTRUM V3,"29,500"
ASUS ROG RYUO III 240 ARGB WHITE EDITION,"328,650"
잘만 CNPS13X (BLACK),"42,340"
쿨러마스터 HYPER 212 HALO (BLACK),"50,900"
MA-4 Frigate (WHITE),"28,250"
마이크로닉스 MA-4 Frigate (BLACK),"28,100"
쿨러마스터 MASTERLIQUID 240 ATMOS (WHITE),"161,000"
Antec VORTEX 240 ARGB,"128,400"
Antec VORTEX 360 ARGB,"166,100"
DEEPCOOL LT520 (WHITE),"153,690"
DARKFLASH Twister DX-360 ARGB (핑크),"82,300"
DEEPCOOL GAMER STORM CASTLE 240 RGB V2,"94,640"
AMD 라이젠 레이스 프리즘 쿨러,"37,800"
리안리 GALAHAD II LCD SL-INF 360 (WHITE),"432,600"
SCYTHE MUGEN 5 BLACK EDITION,"84,680"
ARCTIC FREEZER 12,"33,800"
에너맥스 AQUAFUSION ADV 360 ARGB (BLACK),"121,280"
(인텔) 소켓1156 정품 /쿨러/튜닝,"5,730"
ID-COOLING IS-47S,"36,930"
EVERCOOL COOLMARKER CM-1200 2U PLUS 서버쿨러,"48,000"
리안리 GALAHAD II LCD 280 (WHITE),"281,800"
SCYTHE KOTETSU MARK II ARGB,"49,140"
Thermalright Burst Assassin 120 서린,"36,200"
EVERCOOL COOLMARKER CM-1200/115X 2U 서버쿨러,"37,200"
NOCTUA NH-L9a-AM5 Chromax.black,"83,640"
리안리 GALAHAD II LCD SL-INF 360 (BLACK),"432,600"
Antec SYMPHONY 360 ARGB (White),"134,500"
Thermalright AXP120-X67 ARGB 서린 (WHITE),"65,000"
DEEPCOOL GAMER STORM CASTLE 240EX,"137,270"
조이쿨 MRM-90 CU V2,"9,150"
JIUSHARK JF100RS Crystal ARGB (BLACK),"19,900"
NOCTUA NH-L9a-AM5,"72,800"
커세어 CORSAIR iCUE LINK H100i LCD AIO (BLACK),"405,620"
리안리 GALAHAD II LCD 360 (BLACK),"357,200"
조이쿨 MRM-90 CU,"9,150"
Thermalright Assassin King 120 SE 서린,"27,200"
JIUSHARK JF100RS Crystal ARGB (WHITE),"20,300"
iHTP G400-V2 INFINITE SPACE,"25,090"
인텔 소켓 1200 정품 (고급형),"7,800"
커세어 CORSAIR iCUE LINK H150i LCD AIO (BLACK),"444,100"
리안리 GALAHAD II LCD 280 (BLACK),"281,800"
ID-COOLING DK-03i RGB PWM INTEL,"16,800"
DEEPCOOL GAMER STORM CASTLE 240EX (WHITE),"147,410"
JIUSHARK JF100RS Crystal (BLACK),"18,000"
커세어 CORSAIR iCUE LINK H170i LCD AIO,"468,020"
Thermalright FROZEN MAGIC 360 ARGB,"166,580"
