제품명,가격
"Seagate IronWolf 5400/256M (ST4000VN006, 4TB)","165,370"
"Seagate Exos X16 SAS/7200/256M (ST10000NM002G, 10TB)","456,530"
"Toshiba N300 7200/256M (HDWG460, 6TB)","241,290"
"Western Digital WD BLACK 7200/128M (WD8002FZWX, 8TB)","421,330"
"Western Digital WD BLUE 5400/256M (WD30EZAX, 3TB)","116,480"
"ablelead ASIO 5900/64M (AK1000HSURA, 1TB)","53,240"
"Seagate IronWolf Pro 7200/256M (ST2000NE001, 2TB)","167,300"
[중고] Sebap 320GB SM320RS(SATA3/5400/128M/노트북용/리퍼),"26,620"
"ablelead ASIO 5900/64M (AK2000HSURA, 2TB)","68,430"
"Western Digital Ultrastar DC HC320 7200/256M/리퍼비시 (HUS728T8TALN600, 8TB)","196,570"
"Seagate IronWolf Pro 7200/256M (ST18000NE000, 18TB)","697,460"
"Seagate Exos X18 SAS 7200/256M (ST16000NM004J,16TB)","727,990"
(Sebap) 2TB Amigos SM1200RS (SATA3/5400/64M /HDD),"53,340"
"ablelead ASIO 5900/64M (AK3000HSURA, 3TB)","89,440"
[중고] Sebap2TB SM022RS(SATA3/5400/128M/노트북용/리퍼비),"84,600"
"ablelead ASIO 5900/64M (AK4000HSURA, 4TB)","119,500"
Seagate 14TB IronWolf Pro ST14000NE0008 (SATA3/7200/256M),"610,280"
Seagate 6TB BarraCuda ST6000DM003 (SATA3/5400/256M),"154,640"
(Toshiba) 2TB DT01ABA200V SATA3/5700rpm/32M /HDD,"104,290"
Western Digital WD 2TB BLACK WD2003FZEX SATA3/7200/64M /HDD,"200,730"
(Sebap) 4TB Amigos SM1400RS (SATA3/5400/64M /HDD),"103,480"
Toshiba 10TB X300 HDWR11A (SATA3/7200/256M),"338,680"
Western Digital WD 2TB PURPLE (WD20PURZ),"109,720"
(Toshiba) 4TB MC04ACA400 SATA3/7200RPM/128M /HDD,"184,680"
"Western Digital WD RED Pro 7200/512M (WD141KFGX, 14TB)","552,260"
(Sebap) 3TB Amigos SM1300RS (SATA3/5400/64M /HDD),"74,880"
Toshiba 3TB P300 HDWD130 (SATA3/7200/64M),"119,600"
Toshiba 6TB N300 HDWN160 (SATA3/7200/128M),"236,830"
Toshiba 2TB MG04ACA200 Enterprise (SATA3/7200/128M),"172,730"
(Toshiba) 3TB DT01ABA300V SATA3/5700rpm/32M /HDD,"125,570"
Toshiba 8TB N300 HDWG180 (SATA3/7200/256M),"305,270"
Toshiba 12TB N300 HDWG21C (SATA3/7200/256M),"432,370"
Toshiba 14TB N300 HDWG21E (SATA3/7200/256M),"507,330"
[중고] (Hitachi) 160GB Cinemastar P7K500 EIDE/7200/8M/리퍼비시 /HDD,"49,140"
Western Digital WD60EZAZ 6TB BLUE (5400RPM/256MB),"157,050"
"Seagate IronWolf Pro 7200/256M (ST4000NT001, 4TB)","252,210"
Sebap 세바프 BUSCAR CCTV HDD SVP1100RS (1TB),"45,450"
(Sebap) 500GB Amigos SM1050RS(SATA3/7200/32M /HDD),"23,920"
"Western Digital WD BLACK 7200/256M (WD4005FZBX, 4TB)","269,370"
"Western Digital WD BLUE 5400/256M (WD40EZAZ, 4TB)","118,320"
Sebap 세바프 BUSCAR CCTV HDD SVP1200RS (2TB),"56,990"
Western Digital WD 6TB BLUE WD60EZRZ SATA3/5400/64M /HDD,"167,130"
"[중고] Sebap BUSCAR CCTV 5400/64M/리퍼비시 (SVP1100RS, 1TB)","45,760"
"Toshiba N300 7200/256M (HDWG440, 4TB)","172,650"
"[중고] Sebap BUSCAR CCTV 5400/64M/리퍼비시 (SVP1200RS, 2TB)","57,210"
"[중고] Sebap BUSCAR CCTV 5400/64M/리퍼비시 (SVP1300RS, 3TB)","76,960"
"[중고] Sebap BUSCAR CCTV 5400/64M/리퍼비시 (SVP1400RS, 4TB)","106,080"
"Seagate IronWolf 5400/256M (ST2000VN003, 2TB)","145,450"
