제품명,가격
NVIDIA 쿼드로 Sync II 엔비디아코리아 정품,"1,245,300"
MSI 지포스 RTX 4070 SUPER 게이밍 X 슬림 화이트 D6X 12GB 트라이프로져3,"1,008,000"
ZOTAC GAMING 지포스 RTX 4070 SUPER TWIN Edge OC D6X 12GB,"890,000"
GIGABYTE AORUS 지포스 RTX 4070 SUPER Master D6X 12GB 제이씨현,"1,068,450"
GIGABYTE 지포스 RTX 4070 SUPER AERO OC D6X 12GB 제이씨현,"1,000,500"
이엠텍 지포스 RTX 3050 KalmX D6 6GB,"279,000"
GIGABYTE 지포스 RTX 4070 SUPER EAGLE OC D6X 12GB 제이씨현,"935,400"
GIGABYTE 지포스 RTX 4070 SUPER Gaming OC D6X 12GB 제이씨현,"967,200"
GIGABYTE 지포스 RTX 4070 SUPER WINDFORCE OC D6X 12GB 제이씨현,"918,300"
AFOX 지포스 GTX1050 Ti H2 D5 4GB DUAL 디앤디컴,"182,010"
GIGABYTE AORUS 지포스 RTX 4070 SUPER Master D6X 12GB 피씨디렉트,"1,079,000"
갤럭시 GALAX 지포스 RTX 3060 EX WHITE OC V2 D6 12GB,"452,340"
GIGABYTE 지포스 RTX 4070 SUPER WINDFORCE OC D6X 12GB 피씨디렉트,"943,640"
갤럭시 GALAX 지포스 RTX 3060 EX BLACK OC V2 D6 12GB,"426,150"
ASUS DUAL 라데온 RX 6750 XT O12G OC D6 12GB 대원CTS,"456,500"
GIGABYTE 라데온 RX 7900 XTX Gaming OC D6 24GB 피씨디렉트,"1,479,600"
GIGABYTE 지포스 RTX 4070 SUPER Gaming OC D6X 12GB 피씨디렉트,"954,100"
GIGABYTE 지포스 RTX 4070 SUPER EAGLE OC D6X 12GB 피씨디렉트,"951,900"
(갤럭시) GALAX 지포스 GT710 D3 1GB LP 무소음 /VGA /VGA,"45,800"
GIGABYTE 지포스 RTX 4070 SUPER AERO OC D6X 12GB 피씨디렉트,"994,200"
(갤럭시) GALAX 지포스 GT1030 강아지 EXOC D5 2GB LP /VGA,"99,800"
이엠텍 지포스 RTX 4070 SUPER STORM X Dual D6X 12GB,"891,320"
(갤럭시) GALAX 지포스 GT1030 D5 2GB /VGA,"100,900"
이엠텍 지포스 RTX 4070 SUPER STORM X Dual OC D6X 12GB,"913,000"
ASUS DUAL 지포스 RTX 4070 SUPER O12G EVO OC D6X 12GB,"962,430"
ASUS DUAL 지포스 RTX 4070 SUPER O12G OC D6X 12GB,"972,400"
GIGABYTE 지포스 RTX 4070 Ti WINDFORCE OC D6X 12GB 제이씨현,"1,134,680"
ASUS DUAL 지포스 RTX 4070 SUPER O12G OC D6X 12GB WHITE,"974,780"
NVIDIA T400 D6 4GB 엔비디아코리아 정품,"238,570"
TAGER 지포스 GTX 1660 D5 6GB,"238,100"
ASUS TUF Gaming 지포스 RTX 4070 SUPER O12G OC D6X 12GB,"1,092,000"
갤럭시 BOY 지포스 GT710 D3 1GB LP 무소음,"45,290"
이도디스플레이 지포스 GTX 1660 SUPER RAGE-X II D6 6GB,"259,640"
ASUS ROG STRIX 지포스 RTX 4070 SUPER O12G GAMING OC D6X 12GB,"1,211,600"
갤럭시 BOY 지포스 GT1030 D5 2GB,"102,930"
TAGER 지포스 GT1030 D5 2GB,"94,180"
GAINWARD 지포스 RTX 4070 SUPER 고스트 D6X 12GB,"889,350"
STCOM 지포스 RTX 4070 SUPER D6X 12GB,"884,200"
PNY 지포스 RTX 4070 SUPER VERTO OC D6X 12GB DF 제이씨현,"870,500"
MSI 지포스 GT710 D3 2GB LP 무소음,"45,000"
TAGER 지포스 G210 D3 512MB LP,"25,220"
ASUS DUAL 지포스 RTX 4070 SUPER D6X 12GB,"962,000"
XFX 라데온 RX 7600 XT QICK 309 BLACK D6 16GB STCOM,"528,300"
Colorful 지포스 GT1030 REVENGE V8 D5 2GB,"96,690"
MANLi 지포스 RTX 4070 SUPER RUSH D6X 12GB,"894,400"
XFX 라데온 RX 7600 XT SWFT 210 CORE D6 16GB STCOM,"504,400"
inno3D 지포스 RTX 4070 SUPER OC D6X 12GB TWIN X2 WHITE,"913,300"
갤럭시 GALAX 지포스 RTX 4070 3X OC D6X 12GB,"829,000"
ZOTAC GAMING 지포스 RTX 4070 TWIN EDGE OC D6X 12GB,"790,220"
GIGABYTE 지포스 RTX 4060 Ti GAMING D6 16GB 피씨디렉트,"708,360"
PNY XLR8 지포스 RTX 4070 SUPER VERTO OC EPIC-X RGB D6X 12GB TF 마이크로닉스,"929,000"
GIGABYTE 지포스 RTX 4060 Ti AERO OC D6 8GB 제이씨현,"647,900"
ASRock 라데온 RX 6650 XT 스틸레전드 화이트 OC D6 8GB 에즈윈,"374,000"
PNY 지포스 RTX 4070 SUPER VERTO OC D6X 12GB DF 마이크로닉스,"891,000"
GIGABYTE 지포스 RTX 4060 Ti Gaming OC D6 8GB 제이씨현,"632,010"
이엠텍 지포스 RTX 4060 MIRACLE BLACK D6 8GB,"410,500"
갤럭시 갤라즈 GALAX 지포스 RTX 3050 EX WHITE OC D6 8GB,"307,770"
GIGABYTE 지포스 RTX 4060 Ti EAGLE D6 8GB 피씨디렉트,"584,990"
GAINWARD 지포스 RTX 4090 팬텀 D6X 24GB,"2,849,700"
MSI 지포스 RTX 4080 게이밍 X 트리오 D6X 16GB 트라이프로져3,"1,910,610"
ASUS 라데온 RX 7900 XT D6 20GB 대원씨티에스,"1,150,000"
리드텍 WinFast 지포스 GTX 1650 D6 4GB,"201,750"
GIGABYTE 지포스 RTX 4060 Ti EAGLE OC D6 8GB 피씨디렉트,"594,970"
갤럭시 GALAX 지포스 GTX 1660 SUPER OC D6 6GB,"303,720"
ASUS TUF Gaming 라데온 RX 7900 XT O20G OC D6 20GB 대원씨티에스,"1,196,000"
