제품명,가격
ASUS PRIME H610M-A D4 STCOM,"105,870"
ASUS ProArt B650-CREATOR 대원씨티에스,"387,300"
ASRock C621A WS 에즈윈,"1,527,020"
Supermicro H13SAE-MF (STCOM),"811,120"
ASUS PRIME B660-PLUS D4 STCOM,"223,000"
ASRock TRX50 WS 에즈윈,"1,200,210"
ASUS PRIME B660M-A D4 STCOM,"162,000"
GIGABYTE B760 GAMING X 피씨디렉트,"240,000"
ASUS PRIME B660M-A WIFI D4 STCOM,"200,000"
ASUS EX H610M-V3 D4 STCOM,"91,500"
ASRock Z790 PG Lightning SE D5 에즈윈 (벌크),"268,000"
ASUS TUF Gaming B760M-PLUS WIFI STCOM,"219,520"
ASRock B650M PG Lightning 대원씨티에스,"152,000"
ASUS PRO WS W680-ACE STCOM,"503,350"
MSI PRO B760M-P,"143,000"
ASUS PRIME B760-PLUS STCOM,"255,490"
ASUS TUF Gaming Z590-PLUS 인텍앤컴퍼니,"280,060"
ASRock H610M-HVS/M.2 R2.0 D4 디앤디컴 벌크,"85,760"
ASUS TUF Gaming B760-PLUS WIFI STCOM,"293,340"
GIGABYTE B650 AORUS ELITE V2 피씨디렉트,"289,000"
Supermicro X11SCL-F,"664,950"
ASRock H610M-HDV/M.2 R2.0 D4 디앤디컴 벌크,"91,400"
ASUS PRO WS WRX80E-SAGE SE WIFI STCOM,"1,414,310"
ASRock B650 Pro RS 대원씨티에스,"299,540"
ASUS ROG STRIX Z790-E GAMING WIFI II STCOM,"704,000"
GIGABYTE B650 AORUS ELITE AX V2 피씨디렉트,"304,000"
ASRock B650M PG Lightning WiFi 디앤디컴,"190,000"
MSI B450M-A PRO 맥스,"71,000"
Supermicro MBD-X11SPM-TF-O,"1,055,070"
GIGABYTE B650 AORUS ELITE V2 제이씨현,"293,360"
(ASUS) PRIME X299-A II (코잇),"589,800"
ASRock B760M-HDV/M.2 D5 에즈윈,"136,200"
ASRock B650M PG Lightning + WiFi6E 모듈 패키지 디앤디컴,"183,300"
GIGABYTE X670E AORUS PRO X 제이씨현,"405,000"
MSI MAG B760M 박격포 II,"198,000"
MSI MAG B550M 박격포 맥스 WiFi,"184,000"
ASRock X670E PG Lightning 에즈윈,"385,000"
GIGABYTE Z790 UD 피씨디렉트,"290,990"
ASRock X670E Taichi 디앤디컴,"855,900"
ASRock B560M-HDV 디앤디컴 (벌크),"93,500"
GIGABYTE H610M H V2 D4 제이씨현,"95,730"
GIGABYTE B650M AORUS ELITE 피씨디렉트,"241,000"
ASRock X570 Phantom Gaming 4 에즈윈,"149,500"
ASUS ROG MAXIMUS Z690 APEX STCOM,"467,000"
GIGABYTE X299 UD4 PRO 피씨디렉트,"398,000"
MSI MPG X670E 카본 WiFi,"672,160"
ASRock B760M PG LIGHTNING/D4 디앤디컴,"136,500"
ASRock B760M Pro-A 대원씨티에스,"157,490"
ASRock Z790 Pro RS WiFi D5 에즈윈,"373,650"
ASUS TUF Gaming B760M-PLUS II 코잇,"212,100"
ASUS PRO WS WRX80E-SAGE SE WIFI (아이보라),"1,317,550"
ASUS PRIME B760M-K D4 STCOM,"148,700"
ASUS PRIME B760M-PLUS-CSM 코잇,"211,100"
ASUS ROG STRIX Z790-F GAMING WIFI 코잇,"503,060"
ASUS PRIME B760M-A D4 STCOM,"201,830"
ASUS PRIME H610M-CS 2.5G 코잇,"111,170"
ASUS ROG MAXIMUS Z790 HERO 코잇,"949,050"
ASUS PRIME B760M-A WIFI D4 STCOM,"225,420"
ASUS ROG STRIX B760-A GAMING WIFI D4 STCOM,"371,350"
GIGABYTE B760M DS3H 피씨디렉트,"154,450"
ASRock B660M-HDVP/D5 R2.0 에즈윈 (벌크),"126,610"
ASUS ROG STRIX B760-F GAMING STCOM,"408,460"
GIGABYTE B760 AORUS ELITE AX 피씨디렉트,"239,070"
ASUS ROG STRIX X299-E GAMING II STCOM,"711,010"
ASRock A620M-HDV/M.2 에즈윈,"110,500"
ASUS PRIME Z690-P WIFI STCOM,"340,300"
ASUS ROG MAXIMUS Z790 HERO 인텍앤컴퍼니,"951,110"
ASUS ROG STRIX B760-G GAMING WIFI D4 STCOM,"366,550"
GIGABYTE B760 AORUS ELITE 피씨디렉트,"231,800"
ASUS ROG STRIX B760-I GAMING WIFI STCOM,"346,340"
ASRock B450M-HDV R4.0 디앤디컴,"75,000"
ASRock B660M Pro RS/D5 에즈윈,"190,430"
에너지옵티머스 B75USB BTC-8P (벌크),"72,050"
ASUS EX B760M-V5 D4 코잇,"152,340"
GIGABYTE B760M D2H D4 제이씨현,"136,400"
GIGABYTE Z790 AORUS TACHYON 피씨디렉트,"844,000"
ASUS PRIME B760M-K D4 코잇,"153,370"
ASRock B760 Pro RS D5 에즈윈,"229,900"
ASRock B550M PRO4 에즈윈,"132,000"
Supermicro X11SCZ-F STCOM,"607,310"
