제품명,가격
GeIL DDR5-6000 CL38 POLARIS Gray 패키지 (32GB(16Gx2)),"149,970"
GeIL DDR4-3200 CL16-20-20 ORION Gray 패키지 (32GB(16Gx2)),"98,700"
SK하이닉스 DDR5-5600 (32GB),"135,020"
GeIL DDR5-5600 CL38 POLARIS White 패키지 (32GB(16Gx2)),"136,350"
GeIL DDR4-3200 CL16-20-20 ORION Red 패키지 (16GB(8Gx2)),"52,210"
TeamGroup T-Force DDR4-3600 CL14 Delta RGB 화이트 패키지 서린 (16GB(8Gx2)),"201,950"
TeamGroup T-CREATE DDR5-5600 CL46 CLASSIC 패키지 서린 (64GB(32Gx2)),"280,000"
TeamGroup T-CREATE DDR5-6000 CL48 CLASSIC 패키지 서린 (64GB(32Gx2)),"290,000"
G.SKILL DDR4 16G PC4-21300 CL19 AEGIS,"43,030"
마이크론 Crucial DDR4 8G PC4-25600 CL22,"22,030"
TeamGroup T-Force DDR5-5600 CL36 Delta RGB 패키지 서린 (64GB(32Gx2)),"313,030"
OLOy DDR5-6000 BLADE RGB Black 패키지 (32GB(16Gx2)),"175,000"
G.SKILL DDR4-4000 CL18 TRIDENT Z ROYAL 실버 패키지 (16GB(8Gx2)),"129,590"
마이크론 Crucial DDR4 8G PC4-21300 CL19,"33,450"
TeamGroup T-Force DDR5-5600 CL36 Delta RGB 화이트 패키지 서린 (64GB(32Gx2)),"313,030"
TeamGroup T-Force DDR5-6000 CL38 Delta RGB 패키지 서린 (64GB(32Gx2)),"328,500"
OLOy DDR5-6000 BLADE RGB White 패키지 (32GB(16Gx2)),"173,400"
TeamGroup T-Force DDR4-3200 CL16-20-20 Delta TUF Gaming RGB 패키지 (32GB(16Gx2)),"123,760"
G.SKILL DDR4-4000 CL18 TRIDENT Z RGB 패키지 (16GB(8Gx2)),"90,480"
삼성전자 DDR4-2666 (8GB) PC4-21300,"21,620"
TeamGroup T-Force DDR5-6000 CL38 Delta RGB 화이트 패키지 서린 (64GB(32Gx2)),"328,500"
OLOy DDR5-6400 BLADE RGB Black 패키지 (32GB(16Gx2)),"188,000"
TeamGroup T-Force DDR5-6000 CL38 Vulcan Black 패키지 (64GB(32Gx2)),"293,290"
OLOy DDR5-6400 BLADE RGB White 패키지 (32GB(16Gx2)),"189,200"
G.SKILL DDR4-3600 CL14 TRIDENT Z ROYAL ELITE 실버 패키지 (16GB(8Gx2)),"216,160"
TeamGroup T-Force DDR5-6000 CL38 Vulcan Red 패키지 (64GB(32Gx2)),"293,290"
G.SKILL DDR4-3600 CL14 TRIDENT Z ROYAL ELITE 골드 패키지 (16GB(8Gx2)),"216,160"
써멀테이크 DDR4 16G PC4-28800 CL18 RGB 블랙(8Gx2),"84,920"
TeamGroup T-CREATE DDR5-6400 CL40 EXPERT 패키지 서린 (32GB(16Gx2)),"154,500"
ESSENCORE KLEVV DDR5-7600 CL36 CRAS V RGB 패키지 서린 (48GB(24Gx2)),"362,770"
GeIL DDR4 16G PC4-33000 CL19 SUPER LUCE RGB Sync 화이트 (8Gx2),"154,810"
써멀테이크 DDR4 16G PC4-25600 CL16 RGB 블랙(8Gx2),"81,830"
